#List of programs to install after installing arch,
#compliant with larbs format
,acpi_call,
,alsa-lib,
,alsa-topology-conf,
,alsa-ucm-conf,
,alsa-utils,
,arandr,
,base,
,blueman, bluetooth thing
,blueman-applet, bluetooth applet
,brave-bin, brave browser
,brightnessctl, brightness controls
,brotli,
,bspwm,
,bzip2,
,cronie,
,dialog,
,dmenu,
,dunst,
,feh,
,ffmpeg,
,fontconfig,
,gawk,
,gc,
,gcc,
,gcc-libs,
,git,
,gimp,
,gnu-free-fonts,
,gnupg,
,gnutls,
,grub,
,gvim,
,gzip,
,imagemagick,
,krita,
,libuv,
,lynx,
,man-db,
,mpc,
,mpd,
,mesa,
,ncmpcpp,
,neofetch,
,network-manager-applet,
,networkmanager,
,os-prober,
,otf-font-awesome,
,pipewire,
,pipewire-alsa,
,pipewire-pulse,
,polybar,
,powertop,
,pulsemixer,
,ranger,
,redshift,
,rsync,
,sc-im,
,screengrab,
,simple-mtpfs,
,spotify,
,sudo,
,syncthing,
,sxhkd,
,sxiv,
,thunderbird,
,tlp,
,tlp-rdw,
,tmux,
,transmission-qt,
,tp_smapi,
,ttf-nerd-font-symbols,
,ttf-font-awesome,
,ttf-monaco,
,ttf-sazanami,
,unclutter,
,vlc,
,w3m,
,wireless_tools,
,xdotool,
,xf86-input-wacom,
,xkeyboard-config,
,xwallpaper,
,xorg-fonts-encodings,
,xorg-server,
,xorg-server-common,
,xorg-setxkbmap,
,xorg-xauth,
,xorg-xinit,
,xorg-xinput,
,xorg-xkbcomp,
,xorg-xmodmap,
,xorg-xprop,
,xorg-xrandr,
,xorg-xrdb,
,xorg-xset,
,xorg-xsetroot,
,xorgproto,
,yay,
,zathura,
